Episodes,AmountOfSteps,Rewards
318,99.0,0.0
319,17.0,1.0
320,99.0,0.0
321,3.0,1.0
322,99.0,0.0
323,11.0,1.0
324,24.0,1.0
325,31.0,1.0
326,99.0,0.0
327,6.0,1.0
328,3.0,1.0
329,18.0,1.0
330,99.0,0.0
331,5.0,1.0
332,99.0,0.0
333,99.0,0.0
334,7.0,1.0
335,99.0,0.0
336,99.0,0.0
337,39.0,1.0
338,1.0,1.0
339,57.0,1.0
340,28.0,1.0
341,99.0,0.0
342,99.0,0.0
343,99.0,0.0
344,74.0,1.0
345,16.0,1.0
346,99.0,0.0
347,99.0,0.0
348,31.0,1.0
349,99.0,0.0
350,82.0,1.0
351,99.0,0.0
352,12.0,1.0
353,34.0,1.0
354,7.0,1.0
355,99.0,0.0
356,14.0,1.0
357,52.0,1.0
358,1.0,1.0
359,16.0,1.0
360,99.0,0.0
361,3.0,1.0
362,57.0,1.0
363,99.0,0.0
364,11.0,1.0
365,1.0,1.0
366,5.0,1.0
367,2.0,1.0
368,34.0,1.0
369,8.0,1.0
370,99.0,0.0
371,8.0,1.0
372,99.0,0.0
373,99.0,0.0
374,99.0,0.0
375,99.0,0.0
376,33.0,1.0
377,1.0,1.0
378,80.0,1.0
379,57.0,1.0
380,99.0,0.0
381,99.0,0.0
382,39.0,1.0
383,99.0,0.0
384,8.0,1.0
385,60.0,1.0
386,99.0,0.0
387,8.0,1.0
388,11.0,1.0
389,9.0,1.0
390,99.0,0.0
391,99.0,0.0
392,13.0,1.0
393,99.0,0.0
394,99.0,0.0
395,99.0,0.0
396,79.0,1.0
397,1.0,1.0
398,73.0,1.0
399,99.0,0.0
400,99.0,0.0
401,99.0,0.0
402,13.0,1.0
403,99.0,0.0
404,99.0,0.0
405,10.0,1.0
406,19.0,1.0
407,35.0,1.0
408,99.0,0.0
409,17.0,1.0
410,29.0,1.0
411,11.0,1.0
412,99.0,0.0
413,36.0,1.0
414,16.0,1.0
415,3.0,1.0
416,99.0,0.0
417,33.0,1.0
418,65.0,1.0
419,13.0,1.0
420,11.0,1.0
421,7.0,1.0
422,2.0,1.0
423,99.0,0.0
424,24.0,1.0
425,99.0,0.0
426,17.0,1.0
427,10.0,1.0
428,11.0,1.0
429,99.0,0.0
430,99.0,0.0
431,27.0,1.0
432,12.0,1.0
433,60.0,1.0
434,42.0,1.0
435,99.0,0.0
436,99.0,0.0
437,99.0,0.0
438,17.0,1.0
439,1.0,1.0
