Episodes,AmountOfSteps,Rewards
318,99.0,0.0
319,99.0,0.0
320,99.0,0.0
321,17.0,1.0
322,99.0,0.0
323,54.0,1.0
324,99.0,0.0
325,17.0,1.0
326,99.0,0.0
327,12.0,1.0
328,99.0,0.0
329,8.0,1.0
330,99.0,0.0
331,1.0,1.0
332,1.0,1.0
333,99.0,0.0
334,5.0,1.0
335,9.0,1.0
336,19.0,1.0
337,22.0,1.0
338,8.0,1.0
339,16.0,1.0
340,29.0,1.0
341,2.0,1.0
342,99.0,0.0
343,2.0,1.0
344,2.0,1.0
345,99.0,0.0
346,1.0,1.0
347,99.0,0.0
348,99.0,0.0
349,3.0,1.0
350,14.0,1.0
351,19.0,1.0
352,11.0,1.0
353,99.0,0.0
354,5.0,1.0
355,99.0,0.0
356,99.0,0.0
357,28.0,1.0
358,99.0,0.0
359,7.0,1.0
360,68.0,1.0
361,17.0,1.0
362,39.0,1.0
363,5.0,1.0
364,97.0,1.0
365,86.0,1.0
366,3.0,1.0
367,2.0,1.0
368,99.0,0.0
369,22.0,1.0
370,85.0,1.0
371,28.0,1.0
372,1.0,1.0
373,20.0,1.0
374,99.0,0.0
375,99.0,0.0
376,99.0,0.0
377,99.0,0.0
378,99.0,0.0
379,99.0,0.0
380,24.0,1.0
381,24.0,1.0
382,8.0,1.0
383,10.0,1.0
384,36.0,1.0
385,1.0,1.0
386,45.0,1.0
387,99.0,0.0
388,24.0,1.0
389,99.0,0.0
390,99.0,0.0
391,20.0,1.0
392,28.0,1.0
393,20.0,1.0
394,4.0,1.0
395,99.0,0.0
396,22.0,1.0
397,17.0,1.0
398,8.0,1.0
399,99.0,0.0
400,31.0,1.0
401,99.0,0.0
402,11.0,1.0
403,48.0,1.0
404,56.0,1.0
405,99.0,0.0
406,99.0,0.0
407,31.0,1.0
408,77.0,1.0
409,3.0,1.0
410,99.0,0.0
411,99.0,0.0
412,19.0,1.0
413,9.0,1.0
414,52.0,1.0
415,99.0,0.0
416,2.0,1.0
417,99.0,0.0
418,39.0,1.0
419,30.0,1.0
420,99.0,0.0
421,37.0,1.0
422,11.0,1.0
423,99.0,0.0
424,12.0,1.0
425,56.0,1.0
426,43.0,1.0
427,1.0,1.0
